"Add","Hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add links and samples to downloadable product","Links und Beispiele zum herunterladbaren Produkt hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"An error occurred while getting the requested content.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"Availability:","Verfügbarkeit:"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Back","Zurück"
"Canceled","Storniert"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Verbindung zu Remote Host kann nicht aufgebaut werden, Fehler: %s."
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Category API","Kategorie API"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Date","Datum"
"Date","Datum"
"Date","Datum"
"Default Link Title","Standard Linktitel"
"Default Maximum Number of Downloads","Standard Maximumanzahl von Downloads"
"Default Sample Title","Standard Beispietitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastcheckout deaktivieren wenn Warenkorb Herunterladbare Artikel enthält"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Product","Herunterladbares Produkt"
"Downloadable Product Options","Herunterladbare Produktoptionen"
"Downloadable Product Section","Herunterladbarer Produktbereich"
"Edit","Bearbeiten"
"Edit","Bearbeiten"
"Edit","Bearbeiten"
"Edit item parameters","Artikelangaben ändern"
"Edit item parameters","Artikelangaben ändern"
"Edit item parameters","Artikelangaben ändern"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"Excl. Tax","Steuer weglassen"
"File","Datei"
"File","Datei"
"From:","Von:"
"From:","Von:"
"Gift Message","Geschenkmitteilung"
"Gift Message","Geschenkmitteilung"
"Gift Message","Geschenkmitteilung"
"Gift Message","Geschenkmitteilung"
"Gift Message","Geschenkmitteilung"
"Gift Message","Geschenkmitteilung"
"Go to <a href=""%s"">My Downloadable Products</a>","Gehen Sie zu <a href=""%s"">Meine Download Produke</a>"
"Guest checkout will only work with shareable.","Gastcheckout funktioniert nur wenn mitbenutzbar."
"In stock","Auf Lager"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Incl. Tax","Steuer inkludieren"
"Invalid download URL host.","Ungültiger Download URL Host."
"Invalid download URL scheme.","Ungültiges Download URL Schema."
"Invalid download link type.","Ungültiger Downloadlinktyp."
"Invoiced","In Rechnung gestellt."
"Links can be purchased separately","Links können separat gekauft werden."
"List","Liste"
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"Message:","Nachricht:"
"Move","Verschieben"
"Move to wishlist","Auf den Wunschzettel verschieben"
"Move to wishlist","Auf den Wunschzettel verschieben"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"My Downloadable Products","Meine herunterladbaren Produkte"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Order #","Bestellung #"
"Order #","Bestellung #"
"Order Item Status to Enable Downloads","Bestellungsartikelstatus zu Downloads aktivieren"
"Order id cannot be null","Order-ID kann nicht Null sein"
"Order item id cannot be null","Order-Artikel-ID kann nicht Null sein"
"Ordered","Bestellt"
"Ordered","Bestellt"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Bitte melden Sie sich an um Ihr Produkt herunterzuladen oder zu kaufen <a href=""%s"">%s</a>."
"Please log in to download your product.","Bitte melden Sie sich an um das Produkt herunterzuladen."
"Please set resource file and link type.","Bitte setzten Sie Ressourcendatei und Linktyp."
"Please specify product link(s).","Bitte spezifizieren Sie Produktlink(s)."
"Please specify product link(s).","Bitte spezifizieren Sie Produktlink(s)."
"Price","Preis"
"Price","Preis"
"Price","Preis"
"Price","Preis"
"Price","Preis"
"Price","Preis"
"Product downloadable links","Produkt-Download Links"
"Qty","Anzahl"
"Qty","Anzahl"
"Qty","Anzahl"
"Qty","Anzahl"
"Qty","Anzahl"
"Refunded","Rückerstattet"
"Refunded","Rückerstattet"
"Remaining Downloads","Übrige Downloads"
"Remaining Downloads","Übrige Downloads"
"Remaining Downloads","Übrige Downloads"
"Remove","Löschen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove Item","Artikel entfernen"
"Remove links and samples from downloadable product","Links und Beispiele vom herunterladbaren Produkt entfernen"
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Retrieve links and samples list from downloadable product","Links und Beispielliste vom herunterladbaren Produkt abrufen"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"SKU","SKU"
"Sample","Beispiel"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Shareable","Mitbenutzbar"
"Shareable","Mitbenutzbar"
"Shipped","Versandt"
"Shipped","Versandt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Leider trat beim Einholen des gewünschten Inhalts ein Fehler auf. Bitte kontaktieren Sie den Shopinhaber."
"Sorry, there was an error getting requested content. Please contact the store owner.","Leider trat beim Einholen des gewünschten Inhalts ein Fehler auf. Bitte kontaktieren Sie den Shopinhaber."
"Sort Order","Sortierreihenfolge"
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Start Download","Download starten"
"Status","Status"
"Status","Status"
"Status","Status"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"Subtotal","Zwischensumme"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Einige Dateien wurden ausgewählt aber noch nicht hochgeladen. Bitte laden Sie sie erst hoch oder entfernen Sie sie."
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"Title","Titel"
"To:","An:"
"To:","An:"
"U","U"
"Unlimited","Unbegrenzt"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Update","Aktualisieren"
"Use Content-Disposition","Verwenden Sie Content-Disposition"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","Download"
"download","Download"
"download","Download"
"download","Download"
"inline","Inline"
"sample","Probe"
"sample","Probe"
