"%s","%s"
"API Password","API密码"
"API Signature","API签名"
"API Username","API用户名"
"API/MQI Password","API/MQI密码"
"Acc Number: %s","银行帐号: %s"
"Account Information","帐户详情"
"Account Settings","帐户设定"
"Account: %s","用户名: %s"
"Active","使用"
"Address","地址"
"Admin Email","管理者邮箱"
"Admin Message","管理者口信"
"Affiliate Plus Payment Method","Affiliate Plus支付方式"
"Allow Everything","允许全部"
"Amount","额"
"Auto complete Withdrawal","自动完成提款"
"Back","返回"
"Bank Account","银行帐户"
"Bank Address: %s","银行地址: %s"
"Bank SWIFT code","银行SWIFT编码（别使用）"
"Bank Statement","Bank Statement（别使用）"
"Bank Transfer Payment","银行汇款"
"Bank Transfer Payment Method","银行汇款方式"
"Bank account name","户名"
"Bank account name is empty.","请填写户名。"
"Bank account number","银行帐号"
"Bank account number is empty.","请填写银行帐号。"
"Bank address","银行地址"
"Bank name","银行名"
"Bank name is empty.","请填写银行名。"
"Bank routing code","Bank routing code（别使用）"
"Bank: %s","银行: %s"
"Can not connect to Moneybooker server at this time","不能联系Skill平台"
"Cancel","取消"
"Canceled","已取消"
"Change Password","更改密码"
"City","市"
"Completed","已完成"
"Complete","完成"
"Confirm","决定"
"Confirm New Password","决定新密码"
"Confirm Request","决定要求"
"Content of notification email","通知邮件内容"
"Country","国家"
"Current Password","现在密码"
"Custom Period","期限"
"Custom payout days","汇款期间"
"Email","邮箱"
"Email template sent to Admins","管理者邮件样式"
"Email template sent to Affiliate","推荐人邮件样式"
"Email template sent to admin when withdrawal by recurring","管理者邮件样式（定期提款时）"
"Email template sent to affiliate when withdrawal by recurring","推荐人邮件样式（定期提款时）"
"Email: ","邮箱: "
"Enable Recurring Payment","提供定期提款"
"Fax","传真"
"Fee","手续费"
"Fee Value","手续费额"
"Fee: ","手续费: "
"First Name","名字"
"Invoice Address","Invoice地址"
"Invoice Number","Invoice编码"
"Is Recurring","是不是定期提款"
"Is Recurring Payment","是不是定期提款"
"Label","标签"
"Last Name","性"
"Maximum accounts","最大帐户数"
"Maximum accounts can receive payout per cron. Put 0 for unlimited accounts.","用一个Cron Job最大帐可给汇款。如果你要设定无限填写0。"
"Message","短信"
"Method: ","方法: "
"The minimum balance required to request withdrawal is %s","最小提款额是 %s。"
"Moneybooker","Skrill"
"Moneybooker Email","Skrill邮箱"
"Moneybooker Payment","Skrill支付"
"Moneybooker Payment Method","Skrill支付"
"Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified","Skrill: 请确认您的账户信息。"
"Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration","Skrill: 邮箱地址或者API/MQI密码不正确。请确认您的设定。"
"Moneybooker: Email address and/or password were not provided","Skrill: 请确认邮箱地址或者密码。"
"Moneybooker: Sending amount exceeds account balance.","Skrill: 汇款额超过您的余额。"
"Moneybooker: This account is currently locked.","Skrill: 现在这个帐户有问题（帐户冻结）。"
"Moneybooker: This email is invalid.","Skrill: 无效邮箱。"
"Moneybooker: Transfer failed.","Skrill: 汇款失败。"
"Moneybookers merchant email","Skrill商用帐户邮箱"
"Monthly","月度"
"N/A","没有"
"Name","名字"
"Need at least one active method payment","要使用最小一个支付方式"
"New Address","新地址"
"New Bank Account","新银行账户"
"New Password","新密码"
"No","否"
"Not verified","没认证"
"Offline Payment","脱网支付（银行汇款等）"
"Offline Payment Method","脱网支付方式（银行汇款等）"
"Paid sucessful","支付成功"
"PayPal Payment","PayPal支付"
"PayPal Payment Method","PayPal支付方式"
"PayPal merchant email","PayPal商用账户邮箱"
"Payment Address","支付地址"
"Payment Fee Type","手续费种类"
"Payment Method","支付方式"
"Payout Amount","支付额"
"Payout type","汇款种类"
"Paypal","Paypal"
"Paypal Email","Paypal邮箱"
"Pending","等待"
"Period of auto payout","自动汇款期间"
"Please chose an available payment method!","请选择有效的支付方式。"
"Please fill out all required fields in the form below.","请填写下面的必须项目。"
"Please select region, state or province","请选择省或者市。"
"Processing","进行"
"Receive Notification Email","设定通知邮件接受"
"Receive money by Recurring Payment","定期支付"
"Recurring Payment ","定期支付 "
"Recurring Payment Configuration","设定定期支付"
"Recurring Payment Method","定期支付方式"
"Recurring pay for account that has a pending request","对等待要求（Pending Request）客户的定期汇款"
"Date Requested","要求日"
"Require Authentication","要不要认证"
"Required Fields","必须项目"
"Routing Code: %s","Routing编码: %s"
"SWIFT Code: %s","SWIFT编码: %s"
"Sandbox Mode","Sandbox Mode"
"Save","保存"
"Select an address from your address book or enter a new address.","请选择地址或者填写新地址。"
"Select an existing bank account or enter a new account.","请选择银行账户或者填写新账户。"
"Select the payment method","请选择支付方式"
"Send Email Notification to Affiliate","给推荐人发送通知邮件。"
"Send Email to Admins","给管理者发送邮件。"
"Send Request","发送要求（Request)"
"State/Province","省"
"Status","状态"
"Street Address","详细地址"
"Street Address %s","详细地址 %s"
"Subject of notification email","通知邮件的题目"
"Telephone","电话"
"The withdrawal requested cannot exceed your current balance (%s).","提款额不能超过您的余额 (%s)。"
"The number of days if you chose Custom period","日数（如果您选择特别期间）"
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","在您的账户信息没有支付方式。请确认您的账户信息，或者联系我们。"
"This field will be updated to your profile.","这个项目将更新您的账户信息。"
"This payment method is not available, please choose an alternative payment method.","不能使用这个支付方式。请选择别的支付方式。"
"Transaction ID","交易ID"
"Transaction Id: ","交易Id: "
"Transfer Information","交易信息"
"Use Recurring Payment Moneybookers API","使用定期支付Skrill API"
"Use Recurring Payment PayPal API","使用定期支付Paypal API"
"Use your MoneyBookers Merchant Email Default on Moneybookers Config","为了Skrill设定，使用Skrill商用账户邮件"
"Use your PayPal Merchant Email Default on Paypal Config","为了Paypal设定，使用Paypal商用账户邮件"
"Verified","认证"
"Weekly","周"
"Who pay fee","谁承担手续费"
"Withdrawal Information","提款信息"
"Yearly","年"
"Yes","是"
"Yes if you want to transfer money to your affiliate account immediately through the paygate","如果您要即时支付，选择Yes。"
"You are having a pending request!","您有等待要求"
"You can change this email address on the Edit Account page.","经过Edit Account页面，您能换成您的邮箱。"
"You need to upload an image of  your Bank Statement to verify your account.","为了账户认证，您要上载您的银行存折。"
"You need to upload an image of your house or your address in any reasonable documents to verify your address.","为了账户认证，您要上载您的身份证。"
"Your request has been sent to admin for approval.","您的要求已发送。"
"Zip/Postal Code","邮政编码"
